log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_05_15_52_16_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 140150956, 0.94799518738, 0.325517112889, 1
2016_09_05_15_52_25_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 650135785, 0.384859664693, 0.367933800959, 1
2016_09_05_15_52_34_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 229071083, 0.684419158531, 0.29288952541, 1
2016_09_05_15_52_43_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 23931377, 0.107035561517, 0.434429749411, 1
2016_09_05_15_52_51_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 671116359, 0.0064628266312, 0.111131254681, 1
2016_09_05_15_53_01_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 235130819, 0.159425042262, 0.742018615712, 1
2016_09_05_15_53_10_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 810159241, 0.880167340856, 0.0790040951686, 1
2016_09_05_15_53_19_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 93994476, 0.196093143145, 0.841250701688, 1
2016_09_05_15_53_27_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 244288899, 0.195397953268, 0.76499047613, 1
2016_09_05_15_53_36_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 166394633, 0.750179873736, 0.514202466005, 1
2016_09_05_15_53_45_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 668257971, 0.648927927894, 0.519789054527, 1
2016_09_05_15_53_53_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 515601868, 0.998283172735, 0.75610545269, 1
2016_09_05_15_54_02_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 431011242, 0.256597937661, 0.245154761656, 1
2016_09_05_15_54_11_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 458875719, 0.132594010049, 0.510825829202, 1
2016_09_05_15_54_19_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 847549471, 0.215699469205, 0.0302261732404, 0
2016_09_05_15_54_28_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 591038583, 0.182466575744, 0.950128000839, 0
2016_09_05_15_54_34_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 524657569, 0.405482495604, 0.770900859304, 1
2016_09_05_15_54_43_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 158723495, 0.718646571544, 0.149229114997, 1
2016_09_05_15_54_52_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 397688677, 0.449727272371, 0.250364961544, 1
2016_09_05_15_55_01_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 513336288, 0.115782670616, 0.748213100476, 1
2016_09_05_15_55_10_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 1, 8, 0, 883927536, 0.691257427259, 0.548772524171, 1
2016_09_05_15_55_19_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 381912719, 0.972967838163, 0.575720689691, 1
2016_09_05_15_55_28_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 70498953, 0.368089955916, 0.442287616297, 1
2016_09_05_15_55_36_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 342062165, 0.328178891157, 0.987041545203, 1
2016_09_05_15_55_45_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 68506689, 0.899677666516, 0.481589619879, 1
2016_09_05_15_55_53_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 48689528, 0.977751091091, 0.78800632245, 1
2016_09_05_15_56_02_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 210419127, 0.56803835793, 0.770883334471, 0
2016_09_05_15_56_06_cudaCCL_carol.log, 0, _Z16mergeSpansKernelPiS_iii, 0, 8, 0, 220813982, 0.526050692525, 0.478214286516, 0
