log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_06_01_32_40_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 82013797, 0.82747486032, 0.643059153756, 1
2016_09_06_01_34_26_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 85166057, 0.731200874962, 0.0635072341656, 1
2016_09_06_01_35_24_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 159809998, 0.832092422876, 0.131648329333, 1
2016_09_06_01_35_27_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 108909654, 0.363729002415, 0.433638340135, 1
2016_09_06_01_35_32_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 112920582, 0.903505154591, 0.432483022279, 1
2016_09_06_01_35_42_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 21450905, 0.257885709348, 0.420462634049, 1
2016_09_06_01_35_50_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 155449998, 0.832297732486, 0.102983566677, 1
2016_09_06_01_35_53_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 68420896, 0.0407311567793, 0.730370730313, 1
2016_09_06_01_35_56_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 171108427, 0.427266876284, 0.333248982, 1
2016_09_06_01_35_59_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 33421250, 0.666828331614, 0.4553247673, 1
2016_09_06_01_36_02_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 53137489, 0.596359431972, 0.54486420582, 1
2016_09_06_01_36_05_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 45186470, 0.176397816928, 0.765994514141, 1
2016_09_06_01_36_12_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 67630923, 0.574959445121, 0.47191200777, 1
2016_09_06_01_36_15_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 109665292, 0.806153709552, 0.18939361598, 1
2016_09_06_01_36_18_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 36286147, 0.718249991239, 0.175029267885, 1
2016_09_06_01_36_21_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 180861266, 0.123555604047, 0.034582646998, 1
2016_09_06_01_38_08_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 101770091, 0.498982042823, 0.331049642549, 1
2016_09_06_01_38_11_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 113923285, 0.85883575702, 0.988742963311, 1
2016_09_06_01_38_22_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 82915404, 0.182305824374, 0.400076220614, 1
2016_09_06_01_38_25_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 142129049, 0.901572593544, 0.551191108503, 1
2016_09_06_01_38_35_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 3677155, 0.424548876914, 0.276832435268, 1
2016_09_06_01_38_41_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 183345505, 0.0316165942288, 0.05572370238, 1
2016_09_06_01_38_44_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 61883806, 0.22585456407, 0.37992849088, 1
2016_09_06_01_38_46_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 125359761, 0.138929836108, 0.383830887153, 1
2016_09_06_01_38_52_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 122761605, 0.844230106697, 0.29009605565, 1
2016_09_06_01_38_54_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 62406448, 0.186249559907, 0.399966890437, 1
2016_09_06_01_38_57_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 113222403, 0.508266683651, 0.883304444967, 1
2016_09_06_01_39_00_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 138511934, 0.0959500561608, 0.783964326814, 1
2016_09_06_01_39_03_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 52095417, 0.559226865867, 0.484093480749, 1
2016_09_06_01_39_12_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 23648468, 0.421440839116, 0.366646588219, 1
2016_09_06_01_39_15_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 90564679, 0.643244053422, 0.633432149593, 1
2016_09_06_01_39_17_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 14760561, 0.597852549474, 0.150507698556, 1
2016_09_06_01_39_20_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 48845472, 0.379126487272, 0.0385674341018, 1
2016_09_06_01_39_24_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 105976809, 0.352523828922, 0.39191462439, 1
2016_09_06_01_39_27_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 159932731, 0.528102999648, 0.737014473577, 1
2016_09_06_01_39_30_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 94946720, 0.531240883807, 0.893584374282, 1
2016_09_06_01_39_36_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 75457620, 0.144832503275, 0.302104738311, 1
2016_09_06_01_39_39_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 142375608, 0.916095080142, 0.502767982294, 1
2016_09_06_01_39_44_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 170047889, 0.131884876883, 0.883214558892, 1
2016_09_06_01_39_46_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 64338745, 0.186402297436, 0.680379695067, 1
2016_09_06_01_41_33_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 35067234, 0.964503479106, 0.854987718484, 1
2016_09_06_01_41_36_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 38950637, 0.414079917877, 0.423094015707, 1
2016_09_06_01_41_39_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 178695354, 0.828375232086, 0.439011694908, 1
2016_09_06_01_41_43_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 132066906, 0.451310043178, 0.00393113810231, 1
2016_09_06_01_41_45_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 57745158, 0.935883236698, 0.599148696632, 1
2016_09_06_01_43_31_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 110483337, 0.271274878822, 0.377494842124, 1
2016_09_06_01_43_34_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 66334995, 0.189671966358, 0.346715664179, 1
2016_09_06_01_45_14_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 127180434, 0.114588691963, 0.0415266521651, 1
2016_09_06_01_45_25_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 166057429, 0.862650292103, 0.877136218447, 1
2016_09_06_01_45_28_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 31426813, 0.200440166102, 0.578992779092, 1
2016_09_06_01_45_31_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 53466836, 0.171006677631, 0.73588490106, 1
2016_09_06_01_45_34_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 17970996, 0.459991354017, 0.473317834791, 1
2016_09_06_01_45_38_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 117536464, 0.0238698448888, 0.322302977883, 1
2016_09_06_01_45_41_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 184154327, 0.345227235641, 0.754793717856, 1
2016_09_06_01_45_44_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 21076167, 0.354060946745, 0.296030925253, 1
2016_09_06_01_45_46_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 182691914, 0.618640782334, 0.344596953513, 1
2016_09_06_01_45_55_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 2259535, 0.799540781278, 0.803186604958, 1
2016_09_06_01_46_04_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 94634573, 0.244852156346, 0.505208115644, 1
2016_09_06_01_46_08_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 50632436, 0.549958421317, 0.823618153152, 1
2016_09_06_01_46_10_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 167845909, 0.0738572150251, 0.787257318099, 1
2016_09_06_01_46_13_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 30368600, 0.86779848388, 0.128762890102, 1
2016_09_06_01_46_17_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 109104631, 0.862648443064, 0.921897010589, 1
2016_09_06_01_46_20_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 95925525, 0.543987443774, 0.839301851711, 1
2016_09_06_01_46_25_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 92243543, 0.732577713425, 0.541319331986, 1
2016_09_06_01_46_28_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 119080118, 0.875390967407, 0.412716369127, 1
2016_09_06_01_46_31_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 103297033, 0.594862358885, 0.227472866793, 1
2016_09_06_01_46_34_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 22195498, 0.363692116111, 0.0577732273543, 1
2016_09_06_01_48_17_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 62100553, 0.245664957294, 0.532975785685, 1
2016_09_06_01_49_22_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 152414081, 0.700138627053, 0.992677701267, 1
2016_09_06_01_49_24_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 94820641, 0.51824210093, 0.27423299873, 1
2016_09_06_01_49_27_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 53433920, 0.867379647499, 0.433593517562, 1
2016_09_06_01_49_29_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 145665622, 0.0723348495193, 0.818000593742, 1
2016_09_06_01_49_34_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 132577595, 0.31274158585, 0.307437737381, 1
2016_09_06_01_49_39_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 151491848, 0.550516038702, 0.71035350503, 1
2016_09_06_01_49_41_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 25905222, 0.446300095634, 0.3522834269, 1
2016_09_06_01_49_44_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 99881462, 0.0111405495201, 0.678272940546, 1
2016_09_06_01_49_46_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 175857024, 0.589088605805, 0.735730738859, 1
2016_09_06_01_49_58_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 93483605, 0.938383793382, 0.232941581382, 1
2016_09_06_01_50_01_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 54285787, 0.483400618567, 0.820207651436, 1
2016_09_06_01_50_07_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 93411285, 0.274376863369, 0.558510598215, 1
2016_09_06_01_50_09_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 47526171, 0.651676755837, 0.396186930976, 1
2016_09_06_01_50_12_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 56084685, 0.125180145623, 0.814225684555, 1
2016_09_06_01_50_16_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 602334, 0.0847080757385, 0.407328581372, 1
2016_09_06_01_50_19_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 122737101, 0.950240967968, 0.799938996619, 1
2016_09_06_01_52_05_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 9318962, 0.0603441506025, 0.239209224851, 1
2016_09_06_01_52_08_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 19600064, 0.641355601146, 0.149734928877, 1
2016_09_06_01_53_53_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 146354295, 0.482115231505, 0.114553536599, 1
2016_09_06_01_53_57_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 87071238, 0.65776157914, 0.15362835717, 1
2016_09_06_01_54_00_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 25948248, 0.969013955481, 0.64299036116, 1
2016_09_06_01_54_05_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 31731909, 0.943624746165, 0.307199468543, 1
2016_09_06_01_54_15_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 152718294, 0.358175871156, 0.817180760216, 1
2016_09_06_01_54_18_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 79532844, 0.755115598022, 0.570477903627, 1
2016_09_06_01_54_23_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 93041100, 0.660961805499, 0.18264351365, 1
2016_09_06_01_54_26_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 23822584, 0.493502452202, 0.396764852467, 1
2016_09_06_01_54_29_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 100391070, 0.670822766097, 0.987112395079, 1
2016_09_06_01_54_32_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 164450620, 0.915510265405, 0.265435111385, 1
2016_09_06_01_54_43_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 119834534, 0.427334742626, 0.757970168543, 1
2016_09_06_01_54_46_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 153186276, 0.104453231253, 0.478756193438, 1
2016_09_06_01_54_49_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 42710162, 0.334360724978, 0.0294620662154, 1
2016_09_06_01_54_52_cudaHotspot_carol.log, 0, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 70848443, 0.811651169145, 0.595307376999, 1
2016_09_06_01_54_54_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 12328520, 0.882355898579, 0.734458933235, 1
2016_09_06_01_54_57_cudaHotspot_carol.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, 8, 0, 178259985, 0.890288912993, 0.160967062638, 1
