logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_08_05_22_58_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.3984375;0.3984375;0.3984375;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;757.4824405533855;449.50650355897267;673.6056112623899;0;0
2016_09_08_05_24_21_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.3828125;0.3828125;0.3828125;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1901.0646831971012;433.282665220298;1162.1723517524829;0;0
2016_09_08_05_25_43_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.453125;0.453125;0.453125;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2553.5870706875257;390.65465974275963;1542.2040000275526;0;0
2016_09_08_05_27_06_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.369140625;0.369140625;0.369140625;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1000.5592930352749;226.10430707638383;542.1059576968634;0;0
2016_09_08_05_28_29_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.40625;0.40625;0.40625;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;820.8167171504215;401.63055252620507;626.4356242628738;0;0
2016_09_08_05_29_52_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;1;1;0;0;0.4921875;0.4921875;0.4921875;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;707.8128338448948;707.8128338448948;707.8128338448948;0;0
2016_09_08_05_35_24_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.47265625;0.47265625;0.47265625;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1403.1387487624963;651.0603338034637;980.6428201993156;0;0
2016_09_08_05_38_10_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.412109375;0.412109375;0.412109375;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1724.4122999877484;536.3004179576781;1080.9298985450528;0;0
2016_09_08_05_40_55_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.484375;0.484375;0.484375;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1954.1111524157475;672.6602087149145;1092.7052808108833;0;0
2016_09_08_05_42_18_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.44921875;0.44921875;0.44921875;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;988.407618492634;444.2480407581798;698.4128069739561;0;0
