log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,logFileName,Machine,Benchmark,Header,SDC Iteration,#Accumulated Errors,#Iteration Errors,Relative Errors <= 2%,Relative Errors <= 5%,Jaccard,Jaccard > 2%,Jaccard > 5%,Cubic,Square,Line,Single,Random,Cubic Err > 2,Square Err > 2,Line Err > 2,Single Err > 2,Random Err > 2,Cubic Err > 5,Square Err > 5,Line Err > 5,Single Err > 5,Random Err > 5,Max Relative Error,Min Rel Error,Average Rel Err,# zero output,# zeor Gold
2016_09_08_05_22_58_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 4919268439, 0.43621195868, 0.850633048782, 1,2016_09_08_05_22_58_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.3984375,0.3984375,0.3984375,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,757.4824405533855,449.50650355897267,673.6056112623899,0,0
2016_09_08_05_24_21_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 21950719232, 0.747033083481, 0.551142726504, 1,2016_09_08_05_24_21_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.3828125,0.3828125,0.3828125,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1901.0646831971012,433.282665220298,1162.1723517524829,0,0
2016_09_08_05_25_43_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 9207192998, 0.839583924426, 0.850859584048, 1,2016_09_08_05_25_43_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.453125,0.453125,0.453125,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2553.5870706875257,390.65465974275963,1542.2040000275526,0,0
2016_09_08_05_27_06_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 15047249743, 0.566776716028, 0.0179038334381, 1,2016_09_08_05_27_06_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.369140625,0.369140625,0.369140625,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1000.5592930352749,226.10430707638383,542.1059576968634,0,0
2016_09_08_05_28_29_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 34850141215, 0.448750126701, 0.350468939546, 1,2016_09_08_05_28_29_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.40625,0.40625,0.40625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,820.8167171504215,401.63055252620507,626.4356242628738,0,0
2016_09_08_05_29_52_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 23849627861, 0.292773667593, 0.763893715953, 1,2016_09_08_05_29_52_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,1,1,0,0,0.4921875,0.4921875,0.4921875,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,707.8128338448948,707.8128338448948,707.8128338448948,0,0
2016_09_08_05_35_24_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 26878339083, 0.831211982202, 0.220057421766, 1,2016_09_08_05_35_24_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.47265625,0.47265625,0.47265625,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1403.1387487624963,651.0603338034637,980.6428201993156,0,0
2016_09_08_05_38_10_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 21102630641, 0.640971633649, 0.169564432056, 1,2016_09_08_05_38_10_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.412109375,0.412109375,0.412109375,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1724.4122999877484,536.3004179576781,1080.9298985450528,0,0
2016_09_08_05_40_55_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 21601961864, 0.00815564771239, 0.893115034645, 1,2016_09_08_05_40_55_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.484375,0.484375,0.484375,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1954.1111524157475,672.6602087149145,1092.7052808108833,0,0
2016_09_08_05_42_18_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 1553326374, 0.842803036878, 0.735775365834, 1,2016_09_08_05_42_18_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.44921875,0.44921875,0.44921875,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,988.407618492634,444.2480407581798,698.4128069739561,0,0
2016_09_08_05_45_04_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 24049491950, 0.705798003041, 0.0633819050921, 1,2016_09_08_05_45_04_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.415625,0.415625,0.415625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1767.626931032063,400.0,1014.8154661849585,0,0
2016_09_08_05_46_27_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 36936790506, 0.992509112064, 0.0803814383141, 1,2016_09_08_05_46_27_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.421875,0.421875,0.421875,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1208.121028906425,365.9049118134625,663.6237354648773,0,0
2016_09_08_05_47_50_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 20367107099, 0.0745012909073, 0.867091774851, 1,2016_09_08_05_47_50_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.439453125,0.439453125,0.439453125,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,837.984614506345,235.33017743373645,447.09480798846,0,0
2016_09_08_05_49_13_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 14299152169, 0.469485100503, 0.844847162183, 1,2016_09_08_05_49_13_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.43359375,0.43359375,0.43359375,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1023.4412889262557,419.28535838545525,649.5026036673167,0,0
2016_09_08_05_51_58_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 26809547417, 0.640610441401, 0.699662696642, 1,2016_09_08_05_51_58_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.44218749999999996,0.44218749999999996,0.44218749999999996,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2582.8074261612023,403.52185458498735,1352.2379034581184,0,0
2016_09_08_05_53_21_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, 8, 0, 16346365392, 0.725328075792, 0.391526349067, 1,2016_09_08_05_53_21_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.47187500000000004,0.47187500000000004,0.47187500000000004,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2205.018333255832,400.0,1130.4056925954217,0,0
