log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_09_12_34_00_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 13, 8, 0, 47377592, 0.994344828119, 0.057495650203, 1
2016_09_09_12_37_29_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 52, 8, 0, 109430906, 0.402861217043, 0.064102020724, 1
2016_09_09_12_38_18_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 85, 8, 0, 67522484, 0.74386733827, 0.0360055419695, 1
2016_09_09_12_39_08_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 30, 8, 0, 124839498, 0.468724586802, 0.53273965408, 1
2016_09_09_12_39_57_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 39, 8, 0, 114111027, 0.506536445617, 0.879214135499, 1
2016_09_09_12_40_46_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 29, 8, 0, 36770609, 0.275446154829, 0.402267601824, 1
2016_09_09_12_41_36_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 8, 8, 0, 8222917, 0.301519617252, 0.284806750848, 1
2016_09_09_12_42_25_cudaLulesh_carol.log, 0, _Z29AddNodeForcesFromElems_kerneliiPKiS0_S0_PKdS2_S2_PdS3_S3_i, 27, 8, 0, 15398729, 0.781480430987, 0.00867480914406, 1
2016_09_09_12_43_14_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 50, 8, 0, 40360900, 0.901996620537, 0.351202336469, 1
2016_09_09_12_44_04_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 32, 8, 0, 123594182, 0.82653805257, 0.0537749963409, 1
2016_09_09_12_44_53_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 12, 8, 0, 18536207, 0.703833126394, 0.725596553185, 1
2016_09_09_12_45_43_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 66, 8, 0, 4358036, 0.616067583247, 0.343280158377, 1
2016_09_09_12_46_32_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 79, 8, 0, 32167021, 0.217907220427, 0.825908173517, 1
2016_09_09_12_47_21_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 78, 8, 0, 8686782, 0.585530716328, 0.613942822217, 1
2016_09_09_12_48_11_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 12, 8, 0, 69518980, 0.146446148774, 0.169357097549, 0
2016_09_09_12_48_18_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 8, 8, 0, 89205938, 0.563729308716, 0.410329307404, 1
2016_09_09_12_49_08_cudaLulesh_carol.log, 0, _Z34CalcTimeConstraintsForElems_kernelILi128EEviddPiPdS1_S1_S1_S1_, 10, 8, 0, 1182523, 0.275589092413, 0.0204591454185, 1
2016_09_09_12_49_57_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 92, 8, 0, 14674053, 0.365479732782, 0.358431131263, 1
2016_09_09_12_50_46_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 55, 8, 0, 126396619, 0.125270831311, 0.796203000586, 1
2016_09_09_12_51_36_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 90, 8, 0, 48238273, 0.265229688665, 0.456489796212, 0
2016_09_09_12_52_16_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 75, 8, 0, 25404588, 0.820226871709, 0.214416555751, 1
2016_09_09_12_53_05_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 59, 8, 0, 86049747, 0.86475052244, 0.642620583835, 0
2016_09_09_12_53_35_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 77, 8, 0, 129830208, 0.777668497047, 0.852454361687, 1
2016_09_09_12_54_25_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 65, 8, 0, 72363519, 0.521277766165, 0.239152054592, 1
2016_09_09_12_55_14_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 75, 8, 0, 44196114, 0.532445250379, 0.82513901634, 1
2016_09_09_12_56_04_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 40, 8, 0, 79226251, 0.45414582954, 0.237951260779, 1
2016_09_09_12_56_53_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 22, 8, 0, 142793797, 0.910263925396, 0.710447175629, 1
2016_09_09_12_57_43_cudaLulesh_carol.log, 0, _Z35CalcMonotonicQRegionForElems_kerneldddddiPiS_S_S_S_S_S_S_PdS0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_S0_dS_, 33, 8, 0, 28140382, 0.221996427482, 0.215468321796, 1
2016_09_09_12_58_32_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 85, 8, 0, 100331317, 0.0911783566771, 0.334273601488, 1
2016_09_09_12_59_22_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 18, 8, 0, 17779542, 0.86269225736, 0.371935920659, 1
2016_09_09_13_00_11_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 12, 8, 0, 91220910, 0.347969609523, 0.5347212133, 1
2016_09_09_13_01_01_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 10, 8, 0, 54288544, 0.331929073687, 0.206313374045, 1
2016_09_09_13_01_50_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 30, 8, 0, 133363296, 0.631701895331, 0.944732165617, 0
2016_09_09_13_02_03_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 2, 8, 0, 38345978, 0.796845330797, 0.613970704256, 1
2016_09_09_13_02_52_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 22, 8, 0, 148812670, 0.713226982336, 0.317307851629, 0
2016_09_09_13_03_04_cudaLulesh_carol.log, 0, _Z34CalcTimeConstraintsForElems_kernelILi128EEviddPiPdS1_S1_S1_S1_, 74, 8, 0, 6816306, 0.963442863313, 0.952295176367, 0
2016_09_09_13_03_39_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 53, 8, 0, 80684647, 0.0797576418036, 0.886464333926, 1
2016_09_09_13_04_28_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 88, 8, 0, 25841127, 0.767337752883, 0.657682689496, 1
2016_09_09_13_05_18_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 17, 8, 0, 140983237, 0.827574587763, 0.957411322382, 1
2016_09_09_13_06_07_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 14, 8, 0, 111896362, 0.24193909173, 0.908368783265, 1
2016_09_09_13_06_57_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 95, 8, 0, 146450856, 0.448334080417, 0.245843463562, 1
2016_09_09_13_07_46_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 95, 8, 0, 19748103, 0.236225115106, 0.117195072318, 1
2016_09_09_13_08_35_cudaLulesh_carol.log, 0, _Z29AddNodeForcesFromElems_kerneliiPKiS0_S0_PKdS2_S2_PdS3_S3_i, 52, 8, 0, 12512748, 0.824590011219, 0.554655389293, 1
2016_09_09_13_09_24_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 45, 8, 0, 83953649, 0.842518213893, 0.0553293584598, 1
2016_09_09_13_10_14_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 49, 8, 0, 145141464, 0.946113009721, 0.781242380751, 1
2016_09_09_13_11_03_cudaLulesh_carol.log, 0, _Z34CalcTimeConstraintsForElems_kernelILi128EEviddPiPdS1_S1_S1_S1_, 13, 8, 0, 8178273, 0.912463912586, 0.66221452831, 1
2016_09_09_13_11_52_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 50, 8, 0, 95029838, 0.507663091199, 0.209550338297, 1
2016_09_09_13_12_42_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 14, 8, 0, 101535649, 0.314578506162, 0.795469079922, 1
2016_09_09_13_13_31_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 65, 8, 0, 43168233, 0.539894742572, 0.135693442043, 1
2016_09_09_13_14_21_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 7, 8, 0, 41774473, 0.953643932534, 0.393286952078, 1
2016_09_09_13_15_11_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 50, 8, 0, 25094687, 0.658847863165, 0.863165113972, 1
2016_09_09_13_16_00_cudaLulesh_carol.log, 0, _Z29AddNodeForcesFromElems_kerneliiPKiS0_S0_PKdS2_S2_PdS3_S3_i, 93, 8, 0, 9971411, 0.371913444269, 0.0480031269089, 1
2016_09_09_13_16_49_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 33, 8, 0, 20275347, 0.0110672255887, 0.354770240193, 1
2016_09_09_13_17_39_cudaLulesh_carol.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 28, 8, 0, 109509975, 0.100806944646, 0.203168786407, 1
2016_09_09_13_18_28_cudaLulesh_carol.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 88, 8, 0, 139124939, 0.425835169347, 0.762974505679, 1
2016_09_09_13_19_18_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 97, 8, 0, 64782414, 0.306192243613, 0.0156845242554, 1
2016_09_09_13_20_07_cudaLulesh_carol.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 35, 8, 0, 143521772, 0.377574371294, 0.299893113192, 1
