log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_12_21_31_06_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, 8, 0, 13055922, 0.583525586063, 0.16428064467, 1,Mon Sep 12 21:31:06 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 14 , 14 , 2.791423 , 2 , 12 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_31_06_cudaMergeSort_carolk402.log
2016_09_12_21_32_23_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, 8, 0, 76390188, 0.539090810114, 0.333816039492, 1,Mon Sep 12 21:32:23 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.792072 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_12_21_32_23_cudaMergeSort_carolk402.log
2016_09_12_21_34_26_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, 8, 0, 17372913, 0.548146310038, 0.229666453623, 1,Mon Sep 12 21:34:26 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.792499 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_34_26_cudaMergeSort_carolk402.log
2016_09_12_21_34_40_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, 8, 0, 32877293, 0.391479855673, 0.672855169726, 1,Mon Sep 12 21:34:40 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.793547 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_34_40_cudaMergeSort_carolk402.log
2016_09_12_21_34_52_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 4, 8, 0, 37017932, 0.645969430886, 0.528719950024, 1,Mon Sep 12 21:34:52 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 9 , 9 , 2.791223 , 2 , 6 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 , ./2016_09_12_21_34_52_cudaMergeSort_carolk402.log
2016_09_12_21_35_35_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, 8, 0, 82371605, 0.396725058962, 0.166470129469, 1,Mon Sep 12 21:35:35 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 2 , 2 , 2.793964 , 0 , 0 , 2 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_35_35_cudaMergeSort_carolk402.log
2016_09_12_21_36_37_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 3, 8, 0, 108338082, 0.913650134518, 0.240168563706, 1,Mon Sep 12 21:36:37 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.792403 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_36_37_cudaMergeSort_carolk402.log
2016_09_12_21_37_44_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 4, 8, 0, 90251946, 0.867561060219, 0.753073070005, 1,Mon Sep 12 21:37:44 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 59 , 59 , 2.790509 , 22 , 35 , 2 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 , ./2016_09_12_21_37_44_cudaMergeSort_carolk402.log
2016_09_12_21_39_25_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, 8, 0, 71674965, 0.229303634173, 0.0432499730635, 1,Mon Sep 12 21:39:25 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 17 , 17 , 2.792263 , 7 , 10 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_39_25_cudaMergeSort_carolk402.log
2016_09_12_21_39_45_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, 8, 0, 43413974, 0.453634009482, 0.216047662972, 1,Mon Sep 12 21:39:45 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 2 , 2 , 2.794567 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_12_21_39_45_cudaMergeSort_carolk402.log
2016_09_12_21_40_24_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, 8, 0, 166023123, 0.60925701056, 0.276180417034, 1,Mon Sep 12 21:40:24 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.126644 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_12_21_40_24_cudaMergeSort_carolk402.log
