log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_12_03_23_53_cudaNW_carol.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 59, 8, 0, 57207, 0.876011090313, 0.481177264767, 0
2016_09_12_03_23_55_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 37153259, 0.192198869739, 0.688696518749, 1
2016_09_12_03_23_58_cudaNW_carol.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 19, 8, 0, 192073, 0.147436267643, 0.590852743933, 1
2016_09_12_03_24_00_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 50676686, 0.014311691168, 0.288148937378, 0
2016_09_12_03_24_02_cudaNW_carol.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 81, 8, 0, 172569, 0.888782960219, 0.813929662451, 1
2016_09_12_03_24_04_cudaNW_carol.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 107, 8, 0, 244625, 0.889341679968, 0.431451619047, 1
2016_09_12_03_24_07_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 4575378, 0.349329203973, 0.238455434229, 1
2016_09_12_03_24_09_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 54170912, 0.341976607818, 0.968989054636, 0
2016_09_12_13_50_48_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 44273114, 0.036895408243, 0.722662740802, 1
2016_09_12_13_50_50_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 5892790, 0.832841259644, 0.957573407656, 1
2016_09_12_13_50_52_cudaNW_carol.log, 1, _Z20needle_cuda_shared_2PiS_iiii, 13, 8, 0, 143603, 0.662212361106, 0.403549498649, 1
2016_09_12_13_50_55_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 3089449, 0.662580231289, 0.18599557883, 0
2016_09_12_13_50_57_cudaNW_carol.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 47, 8, 0, 401612, 0.766812445591, 0.778404712253, 0
2016_09_12_13_51_00_cudaNW_carol.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 11, 8, 0, 496603, 0.183639615293, 0.860245086853, 1
2016_09_12_13_51_02_cudaNW_carol.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 36, 8, 0, 7674, 0.410294041162, 0.66324003513, 1
2016_09_12_13_51_04_cudaNW_carol.log, 1, _Z20needle_cuda_shared_2PiS_iiii, 21, 8, 0, 449162, 0.188606457253, 0.460504100869, 1
2016_09_12_13_51_06_cudaNW_carol.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 115, 8, 0, 195508, 0.594647455426, 0.235866424007, 1
2016_09_12_13_51_09_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 24000123, 0.602377031261, 0.540363149513, 0
2016_09_12_13_51_11_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 6958963, 0.764996381444, 0.490756056636, 1
2016_09_12_13_51_13_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 29141195, 0.207134428774, 0.355648746517, 0
2016_09_12_13_51_16_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 62528859, 0.842574127872, 0.79895793993, 0
2016_09_12_13_51_19_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 29788941, 0.043759787015, 0.703145574473, 0
2016_09_12_13_51_21_cudaNW_carol.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 92, 8, 0, 391859, 0.152913518805, 0.560150416893, 1
2016_09_12_13_51_23_cudaNW_carol.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 95, 8, 0, 423176, 0.838219754899, 0.113352121385, 1
2016_09_12_13_51_25_cudaNW_carol.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 10, 8, 0, 382461, 0.497074440278, 0.810385261896, 1
2016_09_12_13_51_27_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 22996815, 0.734903743211, 0.491526180859, 1
2016_09_12_13_51_30_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 22015160, 0.758326815658, 0.399466459034, 1
2016_09_12_13_51_32_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 44528716, 0.431801217469, 0.163866373556, 1
2016_09_12_13_51_34_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 15060367, 0.434224624148, 0.265340141075, 1
2016_09_12_13_51_36_cudaNW_carol.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 72, 8, 0, 317083, 0.983281460746, 0.794761086773, 1
2016_09_12_13_51_39_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 39483790, 0.0921259684961, 0.73470170433, 1
2016_09_12_13_51_41_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 33780718, 0.974701464207, 0.816736161295, 0
2016_09_12_13_51_44_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 61252021, 0.664483618605, 0.400859677887, 0
2016_09_12_13_51_46_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 8861337, 0.578283307741, 0.563684802905, 0
2016_09_12_13_51_49_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 23453704, 0.629944281135, 0.954369127922, 1
2016_09_12_13_51_51_cudaNW_carol.log, 1, _Z20needle_cuda_shared_2PiS_iiii, 18, 8, 0, 144738, 0.980498177887, 0.40374123674, 1
2016_09_12_13_51_54_cudaNW_carol.log, 0, _Z13GoldChkKernelPiS_i, 0, 8, 0, 31934456, 0.938492725962, 0.570654067679, 1
2016_09_12_13_51_56_cudaNW_carol.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 122, 8, 0, 594485, 0.38062531884, 0.632065463368, 0
2016_09_12_13_51_58_cudaNW_carol.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 126, 8, 0, 52285, 0.756994262148, 0.621003023567, 1
