Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
Tue Sep 13 14:36:59 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_36_59_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:03 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 3.896156 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_03_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:16 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 3.494314 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_16_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:29 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 4.151749 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_29_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:42 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.763207 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_42_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:48 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_48_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:50 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.652412 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_50_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:37:55 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 4.019876 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_55_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:38:01 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 3.713639 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_38_01_cudaQuickSortCDP_carolk402.log
Tue Sep 13 14:38:06 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 42339 , 4.296132 , 498 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_38_06_cudaQuickSortCDP_carolk402.log
