log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_13_14_37_03_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1378955746, 0.80269893574, 0.459156497886, 1,Tue Sep 13 14:37:03 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 3.896156 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_03_cudaQuickSortCDP_carolk402.log
2016_09_13_14_37_16_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 227193785, 0.637681325327, 0.827831313345, 1,Tue Sep 13 14:37:16 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 3.494314 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_16_cudaQuickSortCDP_carolk402.log
2016_09_13_14_37_29_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1087024390, 0.544451414631, 0.122920976637, 1,Tue Sep 13 14:37:29 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 4.151749 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_37_29_cudaQuickSortCDP_carolk402.log
2016_09_13_14_38_06_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1374267953, 0.0473523576211, 0.628887588932, 1,Tue Sep 13 14:38:06 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 42339 , 4.296132 , 498 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_38_06_cudaQuickSortCDP_carolk402.log
2016_09_13_14_38_53_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 940758222, 0.148291069504, 0.271292449737, 1,Tue Sep 13 14:38:53 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 3.728742 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_38_53_cudaQuickSortCDP_carolk402.log
2016_09_13_14_48_59_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 299847595, 0.3954985614, 0.103354675877, 1,Tue Sep 13 14:48:59 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 4.08043 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_48_59_cudaQuickSortCDP_carolk402.log
2016_09_13_14_49_18_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 237272073, 0.135223993509, 0.246082718316, 1,Tue Sep 13 14:49:18 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 3 , 3 , 4.285563 , 1 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_49_18_cudaQuickSortCDP_carolk402.log
2016_09_13_14_49_31_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 33278443, 0.997089601938, 0.451574469335, 1,Tue Sep 13 14:49:31 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 3.788548 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_49_31_cudaQuickSortCDP_carolk402.log
2016_09_13_14_49_55_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 690970144, 0.761565626533, 0.229007446163, 1,Tue Sep 13 14:49:55 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 4.325538 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_49_55_cudaQuickSortCDP_carolk402.log
2016_09_13_14_50_08_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, 8, 0, 1083205122, 0.244906182675, 0.307653641119, 1,Tue Sep 13 14:50:08 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 1 , 1 , 4.173986 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_13_14_50_08_cudaQuickSortCDP_carolk402.log
