logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_05_13_33_11_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;6;6;5;5;0.30208333333333337;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07141837276966798;0.017840861733044108;0.02856135867091906;0;1
2016_09_05_13_33_26_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;0;0;0.3125;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;0;1
2016_09_05_13_36_00_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;0;0;0.53125;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;0;1
2016_09_05_13_37_10_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;1;1;0.34375;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.6706538826168796;0.6706538826168796;0.6706538826168796;0;0
2016_09_05_13_37_36_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;5;5;4;4;0.30625;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2624908542348872;0.2624773466554751;0.262483133056462;0;1
2016_09_05_13_38_09_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;0;0;0.46875;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;0;1
2016_09_05_13_39_03_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;0;0;0.03125;0.03125;0.03125;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;8.983054825988095;8.983054825988095;8.983054825988095;0;0
2016_09_05_13_40_08_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;1;1;0.0625;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9.438865131265353e-06;9.438865131265353e-06;9.438865131265353e-06;0;0
2016_09_05_13_40_24_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;1;1;0.125;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.010037019497662211;0.010037019497662211;0.010037019497662211;0;0
2016_09_05_13_40_49_cudaHotspot_carolk402.log;carolk402;cudaHotspot; streams-1 size-1024 pyramidHeight-1 simTime-1;0;1;1;1;1;0.1875;nan;nan;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.010023668883671925;0.010023668883671925;0.010023668883671925;0;0
