log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,logFileName,Machine,Benchmark,Header,SDC Iteration,#Accumulated Errors,#Iteration Errors,Relative Errors <= 2%,Relative Errors <= 5%,Jaccard,Jaccard > 2%,Jaccard > 5%,Cubic,Square,Line,Single,Random,Cubic Err > 2,Square Err > 2,Line Err > 2,Single Err > 2,Random Err > 2,Cubic Err > 5,Square Err > 5,Line Err > 5,Single Err > 5,Random Err > 5,Max Relative Error,Min Rel Error,Average Rel Err,# zero output,# zeor Gold
2016_09_05_13_33_11_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 46246938, 0.279297965908, 0.0449294336109, 1,2016_09_05_13_33_11_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,6,6,5,5,0.30208333333333337,nan,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07141837276966798,0.017840861733044108,0.02856135867091906,0,1
2016_09_05_13_33_26_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 92048337, 2.8007707448, 0.603477167999, 1,2016_09_05_13_33_26_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.3125,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_36_00_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 72386485, 2.47641662993, 0.161766037775, 1,2016_09_05_13_36_00_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.53125,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_37_10_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 192882480, 27.5430289935, 0.494148559475, 1,2016_09_05_13_37_10_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.34375,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6706538826168796,0.6706538826168796,0.6706538826168796,0,0
2016_09_05_13_37_36_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 75510700, 2.04217549029, 0.796262133317, 1,2016_09_05_13_37_36_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,5,5,4,4,0.30625,nan,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2624908542348872,0.2624773466554751,0.262483133056462,0,1
2016_09_05_13_38_09_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 217394509, 22.5722883461, 0.141652620366, 1,2016_09_05_13_38_09_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.46875,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_39_03_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 135507753, 23.6164202442, 0.653913587236, 1,2016_09_05_13_39_03_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.03125,0.03125,0.03125,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8.983054825988095,8.983054825988095,8.983054825988095,0,0
2016_09_05_13_40_08_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 232110207, 19.066330828, 0.958652957293, 1,2016_09_05_13_40_08_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.0625,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.438865131265353e-06,9.438865131265353e-06,9.438865131265353e-06,0,0
2016_09_05_13_40_24_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 8086426, 7.22144947883, 0.986060322056, 1,2016_09_05_13_40_24_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.125,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010037019497662211,0.010037019497662211,0.010037019497662211,0,0
2016_09_05_13_40_49_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 231159237, 6.49870790795, 0.974715959963, 1,2016_09_05_13_40_49_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.1875,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.010023668883671925,0.010023668883671925,0.010023668883671925,0,0
2016_09_05_13_40_55_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 27979689, 2.05726687028, 0.473199017961, 1,2016_09_05_13_40_55_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,4,4,3,3,0.3046875,nan,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21553329905858398,0.21552400853846668,0.2155293612398865,0,1
2016_09_05_13_41_34_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 217330147, 22.1280471718, 0.134490200483, 1,2016_09_05_13_41_34_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.4375,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_42_42_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 137930811, 1.6005696658, 0.562586117539, 1,2016_09_05_13_42_42_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.09375,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00013167485715629334,0.00013167485715629334,0.00013167485715629334,0,0
2016_09_05_13_43_20_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 26482689, 2.52129366748, 0.278066173615, 1,2016_09_05_13_43_20_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.4375,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_43_37_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 204833444, 20.0187873443, 0.327920146063, 1,2016_09_05_13_43_37_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.5,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_43_58_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 220234738, 27.2743254948, 0.309647274481, 1,2016_09_05_13_43_58_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.21875,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003124153481826582,0.003124153481826582,0.003124153481826582,0,0
2016_09_05_13_44_29_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 214521413, 23.6704485737, 0.500991855775, 1,2016_09_05_13_44_29_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.03125,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6222135044141973,0.6222135044141973,0.6222135044141973,0,0
2016_09_05_13_44_35_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 189226277, 2.84084380659, 0.746408381009, 1,2016_09_05_13_44_35_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.46875,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_45_19_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 218563000, 16.6156676693, 0.0697967510108, 1,2016_09_05_13_45_19_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,5,5,5,5,0.28125,nan,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011262460453942295,0.001076315183984279,0.009225179940223423,0,0
2016_09_05_13_46_10_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 192849457, 22.6616326935, 0.477700463271, 1,2016_09_05_13_46_10_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.59375,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_46_21_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 96982584, 19.5987678036, 0.0745215720059, 1,2016_09_05_13_46_21_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,1,0.3125,0.3125,nan,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.287265044753402,3.287265044753402,3.287265044753402,0,0
2016_09_05_13_47_48_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 214213462, 2.58712675954, 0.842952512434, 1,2016_09_05_13_47_48_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,0,0,0.375,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,0,1
2016_09_05_13_48_06_cudaHotspot_carolk402.log, 1, _Z14calculate_tempiPfS_S_iiiiffffff, 0, rf, 0, 50794844, 37.8886489337, 0.489445472543, 1,2016_09_05_13_48_06_cudaHotspot_carolk402.log,carolk402,cudaHotspot, streams-1 size-1024 pyramidHeight-1 simTime-1,0,1,1,1,1,0.15625,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.232928315544558e-06,9.232928315544558e-06,9.232928315544558e-06,0,0
