logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_02_18_49_35_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.37890625;0.37890625;0.37890625;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1937.8089712235303;239.262332874073;756.1012762004366;0;0
2016_09_02_18_51_05_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.466796875;0.466796875;0.466796875;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2205.0708485210994;842.0179938143315;1325.0813377832317;0;0
2016_09_02_18_54_13_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.40364583333333337;0.40364583333333337;0.40364583333333337;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;669.1888964446705;396.41081536344814;522.7295747618373;0;0
2016_09_02_19_01_52_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.4453125;0.4453125;0.4453125;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1231.0846736995336;404.98521550193254;708.1404877192375;0;0
2016_09_02_19_04_49_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.443359375;0.443359375;0.443359375;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;751.3988117396917;295.9575219673408;583.3501395652258;0;0
2016_09_02_19_07_17_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.451171875;0.451171875;0.451171875;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2224.2977719771543;959.1157900200849;1551.554443664978;0;0
2016_09_02_19_10_15_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.41015625;0.41015625;0.41015625;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1463.7062612944;665.7813098919089;905.6131581495629;0;0
2016_09_02_19_12_47_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;3;3;0;0;0.443359375;0.443359375;0.443359375;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1828.9148634509634;628.1748538538355;1072.619222429153;0;0
2016_09_02_19_14_36_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.44140625;0.44140625;0.44140625;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2014.7746970665603;251.62947104808492;986.4778603074129;0;0
2016_09_02_19_17_34_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.4375;0.4375;0.4375;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2680.606531332429;332.63515704736085;996.3325974686494;0;0
2016_09_02_19_19_03_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.439453125;0.439453125;0.439453125;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1454.2133696171525;301.2122467501016;800.1392112880541;0;0
2016_09_02_19_20_32_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.43359375;0.43359375;0.43359375;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2226.032976811594;675.1160266351174;1275.540856210639;0;0
2016_09_02_19_22_01_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;229;229;0;0;0.412220251091703;0.412220251091703;0.412220251091703;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4676.699319578683;175.46714705337004;1046.1492982622397;0;0
2016_09_02_19_23_30_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.4375;0.4375;0.4375;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2184.230572985283;565.1125413307482;1099.2202373446514;0;0
2016_09_02_19_27_56_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;3;3;0;0;0.4453125;0.4453125;0.4453125;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2202.000599387589;980.3258765171453;1398.7823183574255;0;0
2016_09_02_19_33_02_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;3;3;0;0;0.4140625;0.4140625;0.4140625;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1224.35694285573;531.216855712697;877.7868992842135;0;0
2016_09_02_19_34_31_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.419921875;0.419921875;0.419921875;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;2038.9988826161828;524.3882780332142;926.3935266971273;0;0
2016_09_02_19_35_59_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.41796875;0.41796875;0.41796875;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2358.6282766734516;781.1999231341457;1591.016471515954;0;0
2016_09_02_19_37_28_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.416015625;0.416015625;0.416015625;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1037.4747561376146;305.3496860982084;565.37387843886;0;0
2016_09_02_19_39_24_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.392578125;0.392578125;0.392578125;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;786.8712798428575;416.9077830171558;587.7980343453431;0;0
2016_09_02_19_42_23_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.423828125;0.423828125;0.423828125;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;750.329692939433;298.9347121368718;488.5727847882005;0;0
2016_09_02_19_43_52_cudaLavaMD_carolk402.log;carolk402;cudaLavaMD; streams- 1 boxes-10 block_size-192;0;4;4;0;0;0.390625;0.390625;0.390625;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2851.8971667095975;284.73089436011014;1100.712121958291;0;0
