log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,logFileName,Machine,Benchmark,Header,SDC Iteration,#Accumulated Errors,#Iteration Errors,Relative Errors <= 2%,Relative Errors <= 5%,Jaccard,Jaccard > 2%,Jaccard > 5%,Cubic,Square,Line,Single,Random,Cubic Err > 2,Square Err > 2,Line Err > 2,Single Err > 2,Random Err > 2,Cubic Err > 5,Square Err > 5,Line Err > 5,Single Err > 5,Random Err > 5,Max Relative Error,Min Rel Error,Average Rel Err,# zero output,# zeor Gold
2016_09_02_18_49_35_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 14546009022, 37.1028331692, 0.447839312058, 1,2016_09_02_18_49_35_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.37890625,0.37890625,0.37890625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1937.8089712235303,239.262332874073,756.1012762004366,0,0
2016_09_02_18_51_05_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 26874130682, 35.3492629273, 0.241103198798, 1,2016_09_02_18_51_05_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.466796875,0.466796875,0.466796875,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2205.0708485210994,842.0179938143315,1325.0813377832317,0,0
2016_09_02_18_54_13_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 21269915158, 4.37380631345, 0.947509765171, 1,2016_09_02_18_54_13_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.40364583333333337,0.40364583333333337,0.40364583333333337,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,669.1888964446705,396.41081536344814,522.7295747618373,0,0
2016_09_02_19_01_52_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 1955725761, 17.7336237248, 0.333694392987, 1,2016_09_02_19_01_52_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.4453125,0.4453125,0.4453125,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1231.0846736995336,404.98521550193254,708.1404877192375,0,0
2016_09_02_19_04_49_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 24759910877, 5.40516037294, 0.767950503585, 1,2016_09_02_19_04_49_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.443359375,0.443359375,0.443359375,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,751.3988117396917,295.9575219673408,583.3501395652258,0,0
2016_09_02_19_07_17_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 24778419413, 8.01758815362, 0.27907572863, 1,2016_09_02_19_07_17_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.451171875,0.451171875,0.451171875,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2224.2977719771543,959.1157900200849,1551.554443664978,0,0
2016_09_02_19_10_15_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 3553758273, 4.01098962783, 0.269740428578, 1,2016_09_02_19_10_15_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.41015625,0.41015625,0.41015625,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1463.7062612944,665.7813098919089,905.6131581495629,0,0
2016_09_02_19_12_47_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 2, 4906851014, 36.6452349768, 0.791580428375, 1,2016_09_02_19_12_47_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,3,3,0,0,0.443359375,0.443359375,0.443359375,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1828.9148634509634,628.1748538538355,1072.619222429153,0,0
2016_09_02_19_14_36_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 2495737176, 12.8433247894, 0.723271068542, 1,2016_09_02_19_14_36_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.44140625,0.44140625,0.44140625,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2014.7746970665603,251.62947104808492,986.4778603074129,0,0
2016_09_02_19_17_34_cudaLavaMD_carolk402.log, 1, _Z15kernel_gpu_cuda7par_str7dim_strP7box_strP11FOUR_VECTORPdS4_, 0, rf, 0, 1591210253, 2.78501031493, 0.343917200762, 1,2016_09_02_19_17_34_cudaLavaMD_carolk402.log,carolk402,cudaLavaMD, streams- 1 boxes-10 block_size-192,0,4,4,0,0,0.4375,0.4375,0.4375,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2680.606531332429,332.63515704736085,996.3325974686494,0,0
