log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_05_01_59_52_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 52, rf, 0, 41457022, 10.9541980016, 0.329867178205, 1
2016_09_05_02_00_10_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 2, rf, 2, 354382184, 11.7559579675, 0.456496293615, 1
2016_09_05_15_57_06_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 56, rf, 0, 55514126, 20.2446886696, 0.2227545699, 1
2016_09_05_15_57_24_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 8, rf, 0, 52231025, 15.399509171, 0.241118375745, 0
2016_09_05_15_57_28_cudaLud_carolk402.log, 0, _Z13lud_perimeterPdii, 73, rf, 0, 497424, 6.51299905288, 0.669153521634, 0
2016_09_05_15_57_44_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 21, rf, 0, 234726461, 15.9368962669, 0.854785932301, 1
2016_09_05_15_58_02_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 15, rf, 0, 103330688, 19.7334495461, 0.701152297383, 0
2016_09_05_15_58_09_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 50, rf, 0, 53938523, 13.7780281699, 0.129684312247, 0
2016_09_05_15_58_23_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 49, rf, 0, 32915730, 12.5719036151, 0.640063778343, 1
2016_09_05_15_58_41_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 26, rf, 0, 45480528, 4.91687964312, 0.690249701184, 1
2016_09_05_15_58_59_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 3, rf, 0, 113564443, 7.24186122432, 0.31961388694, 0
2016_09_05_15_59_02_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 9, rf, 0, 197162459, 9.24169558515, 0.995609988912, 0
2016_09_05_15_59_07_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 56, rf, 0, 92012105, 16.3300806587, 0.46189713576, 1
2016_09_05_15_59_25_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 62, rf, 0, 90527427, 20.560266956, 0.00638329606306, 0
2016_09_05_15_59_40_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 24, rf, 0, 11573904, 5.30908626949, 0.885258650389, 0
2016_09_05_15_59_49_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 35, rf, 0, 182728631, 12.4747819921, 0.0957944981129, 0
2016_09_05_16_00_01_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 58, rf, 0, 38174184, 10.49382712, 0.203576577107, 0
2016_09_05_16_00_16_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 1, rf, 0, 132418972, 1.78269616672, 0.131267009779, 1
2016_09_05_16_00_34_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 3, rf, 0, 3698954, 9.7388766491, 0.703168438061, 0
2016_09_05_16_00_37_cudaLud_carolk402.log, 0, _Z12lud_internalPdii, 66, rf, 0, 80908290, 7.02198400625, 0.892291809436, 0
