log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_05_02_22_28_cudaLulesh_carolk402.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 79, rf, 0, 117012851, 5.54360408347, 0.681540795978, 1
2016_09_05_02_23_13_cudaLulesh_carolk402.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 9, rf, 2, 40026969, 29.8406690344, 0.521602261736, 1
2016_09_06_01_34_32_cudaLulesh_carolk402.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 50, rf, 0, 156665038, 44.0384289968, 0.270845908722, 1
2016_09_06_01_36_01_cudaLulesh_carolk402.log, 0, _Z34CalcTimeConstraintsForElems_kernelILi128EEviddPiPdS1_S1_S1_S1_, 78, rf, 0, 15750434, 12.6533330191, 0.0791957013168, 1
2016_09_06_01_38_02_cudaLulesh_carolk402.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 70, rf, 0, 53569699, 63.1245072988, 0.934359827851, 1
2016_09_06_01_40_58_cudaLulesh_carolk402.log, 0, _Z45ApplyMaterialPropertiesAndUpdateVolume_kernelidddPdS_S_S_dddddPiS_S_S_S_dS_dS0_iPKiS2_i, 59, rf, 0, 50514730, 36.6318575039, 0.496926088981, 1
2016_09_06_01_42_52_cudaLulesh_carolk402.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 56, rf, 0, 30272032, 234.968835492, 0.46677095109, 0
2016_09_06_01_43_36_cudaLulesh_carolk402.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 51, rf, 0, 32717088, 38.5653151964, 0.738549408452, 1
2016_09_06_01_46_37_cudaLulesh_carolk402.log, 0, _Z30CalcVolumeForceForElems_kernelILb1EEvPKdS1_S1_S1_diiPKiS1_S1_S1_S1_S1_S1_S1_S1_PdS4_S4_Pii, 93, rf, 0, 84836921, 125.532142325, 0.153943159576, 1
2016_09_06_01_48_08_cudaLulesh_carolk402.log, 0, _Z42CalcKinematicsAndMonotonicQGradient_kerneliidPKiPKdS2_S2_S2_S2_S2_S2_S2_PdS3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_S3_Pii, 28, rf, 0, 86174666, 68.0126594044, 0.465686301135, 1
