Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
Mon Sep  5 01:53:57 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_05_01_53_57_cudaMergeSort_carolk402.log
Mon Sep  5 01:54:00 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.958599 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_05_01_54_00_cudaMergeSort_carolk402.log
Mon Sep  5 02:25:31 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_05_02_25_31_cudaMergeSort_carolk402.log
Mon Sep  5 02:25:34 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_05_02_25_34_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:12 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.764038 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_12_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:20 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.515815 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_20_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:25 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_25_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:28 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.510602 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_28_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:33 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.504072 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_33_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:38 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_38_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:42 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.956291 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_42_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:47 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 2.955599 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_47_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:52 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.508944 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_52_cudaMergeSort_carolk402.log
Wed Sep  7 00:51:57 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 3.500491 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_57_cudaMergeSort_carolk402.log
Wed Sep  7 00:52:02 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_52_02_cudaMergeSort_carolk402.log
Wed Sep  7 00:52:04 2016 , carolk402 , cudaMergeSort , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_52_04_cudaMergeSort_carolk402.log
