log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_05_01_53_57_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 16016084, 12.1815794206, 0.396448005765, 0
2016_09_05_01_54_00_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 2, 1731455, 9.44936713308, 0.558529885294, 1
2016_09_05_02_25_31_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, rf, 0, 113783029, 11.2952823146, 0.432041202978, 0
2016_09_05_02_25_34_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 2, 269946383, 8.88389397897, 0.967967869928, 0
2016_09_07_00_51_12_cudaMergeSort_carolk402.log, 1, _Z25generateSampleRanksKernelILj1EEvPjS0_S0_jjj, 9, rf, 0, 449375, 7.97274916208, 0.115973067545, 1
2016_09_07_00_51_20_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 21642717, 1.5952711588, 0.802130845225, 1
2016_09_07_00_51_25_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 44644171, 9.11834521417, 0.0928383502678, 0
2016_09_07_00_51_28_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 545531533, 5.05540204748, 0.287928154164, 1
2016_09_07_00_51_33_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 586696272, 6.51398863427, 0.755248682584, 1
2016_09_07_00_51_38_cudaMergeSort_carolk402.log, 0, _Z26mergeRanksAndIndicesKernelPjS_jjj, 9, rf, 0, 269269, 4.2246788549, 0.925156448893, 0
2016_09_07_00_51_42_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 45331188, 1.28891205789, 0.648470524198, 1
2016_09_07_00_51_47_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 1, rf, 0, 147967522, 5.75991582288, 0.351377214916, 1
2016_09_07_00_51_52_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 271039215, 16.5339499821, 0.769401777889, 1
2016_09_07_00_51_57_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 811257730, 14.9329065562, 0.0109448836334, 1
2016_09_07_00_52_02_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 447273126, 16.8955176295, 0.0223001250615, 0
2016_09_07_00_52_04_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, rf, 0, 3451533, 2.59606307488, 0.286895580034, 0
2016_09_07_00_52_09_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 142961586, 3.75050980345, 0.118624396859, 1
2016_09_07_00_52_13_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 100375194, 2.05655439474, 0.266558561716, 0
2016_09_07_00_52_18_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, rf, 0, 2565921, 9.55201430178, 0.884234636815, 0
2016_09_07_00_52_21_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 43742099, 1.94738658332, 0.352345118365, 1
2016_09_07_00_52_26_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 35604660, 6.47351240902, 0.170064842796, 1
2016_09_07_00_52_34_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 437822258, 1.22032126787, 0.0302681617016, 1
2016_09_07_00_52_39_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, rf, 0, 26378964, 9.06335940296, 0.636079895145, 0
2016_09_07_00_52_43_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 5284606, 7.22107774492, 0.0783156588097, 1
2016_09_07_00_52_51_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, rf, 0, 45692138, 11.9440349752, 0.218112015449, 0
2016_09_07_00_52_55_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, rf, 0, 46294867, 5.69106063584, 0.981345135112, 0
2016_09_07_00_53_01_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 146554239, 17.7891791174, 0.232245864331, 0
2016_09_07_00_53_03_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 116648819, 15.1955292615, 0.203282802426, 0
2016_09_07_00_53_07_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 5, rf, 0, 21826668, 4.61605166418, 0.116095521095, 0
2016_09_07_00_53_15_cudaMergeSort_carolk402.log, 0, _Z25generateSampleRanksKernelILj1EEvPjS0_S0_jjj, 4, rf, 0, 919750, 14.3109966771, 0.0673172667988, 1
2016_09_07_00_53_19_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 70505022, 12.2067098104, 0.016062866553, 0
2016_09_07_00_53_23_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 3, rf, 0, 139663814, 2.55385318775, 0.598558562102, 0
2016_09_07_00_53_28_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 80149398, 8.95659973217, 0.397083585169, 0
2016_09_07_00_53_32_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, rf, 0, 92654090, 4.91687663003, 0.482768537232, 0
2016_09_07_00_53_37_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 4, rf, 0, 99897285, 6.10867884393, 0.523153913224, 1
2016_09_07_00_53_41_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 108784606, 14.6118515772, 0.95041575884, 0
2016_09_07_00_53_44_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 1, rf, 0, 27928284, 2.46575244543, 0.470619768872, 0
2016_09_07_00_53_49_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 32204587, 4.19025706541, 0.216955312301, 1
2016_09_07_00_53_56_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 3, rf, 0, 25743413, 13.569637385, 0.323991065274, 0
2016_09_07_00_54_00_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 5, rf, 0, 19925153, 14.1423471295, 0.443090574824, 0
2016_09_07_00_54_04_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 608505542, 7.2781842023, 0.240291553457, 0
2016_09_07_00_54_08_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, rf, 0, 143746492, 9.70228023121, 0.372328587087, 0
2016_09_07_00_54_12_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 155268688, 0.19901212268, 0.574851155152, 0
2016_09_07_00_54_20_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 43564772, 9.66722032297, 0.029872399978, 1
2016_09_07_00_54_24_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 355817667, 17.2169556807, 0.336270607878, 1
2016_09_07_00_54_29_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, rf, 0, 53438892, 14.962655815, 0.00495288862027, 0
2016_09_07_00_54_33_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 4, rf, 0, 64431337, 2.33274828432, 0.680733884767, 1
2016_09_07_00_54_37_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 8, rf, 0, 159455134, 1.2527330493, 0.663086540908, 1
2016_09_07_00_54_42_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 98554381, 13.9798407087, 0.49323453121, 0
2016_09_07_00_54_44_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 16496095, 2.05709211958, 0.335383578682, 0
2016_09_07_00_54_49_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 7317651, 6.59951329376, 0.472156380441, 1
2016_09_07_00_54_54_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, rf, 0, 25876957, 10.7579848983, 0.0781948771114, 1
2016_09_07_00_54_59_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 126495696, 4.55453844666, 0.979467974776, 0
2016_09_07_00_55_02_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, rf, 0, 73460559, 12.0639126041, 0.945399096106, 0
2016_09_07_00_55_07_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 9, rf, 0, 20336912, 11.9852232701, 0.108924482632, 0
2016_09_07_00_55_11_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 389619115, 3.44095655351, 0.21007956347, 0
2016_09_07_00_55_14_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 3, rf, 0, 146156450, 12.5346853178, 0.127354479536, 0
2016_09_07_00_55_18_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 590192800, 14.2484081993, 0.248086353161, 0
2016_09_07_00_55_21_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 512719675, 7.44671904712, 0.729408150683, 0
2016_09_07_00_55_25_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 1, rf, 0, 23333366, 4.28059219233, 0.256056863005, 0
2016_09_07_00_55_29_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 5, rf, 0, 159970889, 10.2577694737, 0.128023835749, 1
2016_09_07_00_55_34_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 102370591, 6.05593653588, 0.725713537757, 0
2016_09_07_00_55_37_cudaMergeSort_carolk402.log, 0, _Z25generateSampleRanksKernelILj1EEvPjS0_S0_jjj, 4, rf, 0, 1450682, 14.045655113, 0.230591886281, 1
2016_09_07_00_55_42_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 739622954, 16.7676173704, 0.621466228772, 0
2016_09_07_00_55_45_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 356646209, 17.2732037124, 0.880099272938, 0
2016_09_07_00_55_48_cudaMergeSort_carolk402.log, 0, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 565871742, 3.63271969385, 0.936432570361, 0
2016_09_07_00_55_51_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 57009795, 11.7391351014, 0.197007022817, 0
2016_09_07_00_55_56_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 127704137, 12.8322846567, 0.154202883831, 0
2016_09_07_00_56_00_cudaMergeSort_carolk402.log, 0, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 1, rf, 0, 1814381, 0.383344199884, 0.481860605374, 0
