log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_07_00_51_12_cudaMergeSort_carolk402.log, 1, _Z25generateSampleRanksKernelILj1EEvPjS0_S0_jjj, 9, rf, 0, 449375, 7.97274916208, 0.115973067545, 1,Wed Sep  7 00:51:12 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.764038 , 1 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_51_12_cudaMergeSort_carolk402.log
2016_09_07_00_52_26_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 0, rf, 0, 35604660, 6.47351240902, 0.170064842796, 1,Wed Sep  7 00:52:26 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.959032 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_00_52_26_cudaMergeSort_carolk402.log
2016_09_07_00_52_43_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 5284606, 7.22107774492, 0.0783156588097, 1,Wed Sep  7 00:52:43 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.957265 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_52_43_cudaMergeSort_carolk402.log
2016_09_07_00_53_49_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 6, rf, 0, 32204587, 4.19025706541, 0.216955312301, 1,Wed Sep  7 00:53:49 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 7 , 7 , 2.956762 , 3 , 4 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_53_49_cudaMergeSort_carolk402.log
2016_09_07_00_56_09_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 745860162, 12.3268050939, 0.171008607206, 1,Wed Sep  7 00:56:09 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.501775 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_00_56_09_cudaMergeSort_carolk402.log
2016_09_07_00_56_37_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 1, rf, 0, 109461223, 6.01310987438, 0.588914541689, 1,Wed Sep  7 00:56:37 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.957571 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_00_56_37_cudaMergeSort_carolk402.log
2016_09_07_00_57_14_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 417004636, 13.4169623233, 0.511344568915, 1,Wed Sep  7 00:57:14 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.50645 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_57_14_cudaMergeSort_carolk402.log
2016_09_07_00_57_31_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 2, rf, 0, 147466901, 7.21071404332, 0.606506981388, 1,Wed Sep  7 00:57:31 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.954727 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_57_31_cudaMergeSort_carolk402.log
2016_09_07_00_57_39_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 819792276, 13.759820941, 0.249768401078, 1,Wed Sep  7 00:57:39 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.500294 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_57_39_cudaMergeSort_carolk402.log
2016_09_07_00_59_53_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 272756426, 13.8554815388, 0.550448648491, 1,Wed Sep  7 00:59:53 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.508994 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_00_59_53_cudaMergeSort_carolk402.log
2016_09_07_01_01_53_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 275486620, 11.0095364036, 0.113792755533, 1,Wed Sep  7 01:01:53 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.509772 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_01_53_cudaMergeSort_carolk402.log
2016_09_07_01_02_48_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 135869294, 11.0609760789, 0.54122968742, 1,Wed Sep  7 01:02:48 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.510234 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_02_48_cudaMergeSort_carolk402.log
2016_09_07_01_03_16_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 216454465, 11.0670669752, 0.704721506378, 1,Wed Sep  7 01:03:16 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 3.509204 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_03_16_cudaMergeSort_carolk402.log
2016_09_07_01_03_24_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 82748492, 10.7251944667, 0.162171005177, 1,Wed Sep  7 01:03:24 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 28 , 28 , 2.956658 , 8 , 20 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_03_24_cudaMergeSort_carolk402.log
2016_09_07_01_03_32_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 453149776, 10.8824166514, 0.110998134574, 1,Wed Sep  7 01:03:32 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 12 , 12 , 3.506245 , 0 , 0 , 12 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_03_32_cudaMergeSort_carolk402.log
2016_09_07_01_04_53_cudaMergeSort_carolk402.log, 1, _Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j, 0, rf, 0, 262174055, 12.7868101885, 0.617225537353, 1,Wed Sep  7 01:04:53 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 3.508406 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_04_53_cudaMergeSort_carolk402.log
2016_09_07_01_05_26_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 108898721, 7.97968024781, 0.426199063605, 1,Wed Sep  7 01:05:26 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 1 , 1 , 2.956348 , 0 , 0 , 1 , 0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_01_05_26_cudaMergeSort_carolk402.log
2016_09_07_01_06_16_cudaMergeSort_carolk402.log, 1, _Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj, 7, rf, 0, 36881037, 6.74428275701, 0.246791471004, 1,Wed Sep  7 01:06:16 2016 , carolk402 , cudaMergeSort , 1048576 , 1 , 3 , 3 , 2.956269 , 0 , 2 , 1 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 , ./2016_09_07_01_06_16_cudaMergeSort_carolk402.log
