logFileName;Machine;Benchmark;Header;SDC Iteration;#Accumulated Errors;#Iteration Errors;Relative Errors <= 2%;Relative Errors <= 5%;Jaccard;Jaccard > 2%;Jaccard > 5%;Cubic;Square;Line;Single;Random;Cubic Err > 2;Square Err > 2;Line Err > 2;Single Err > 2;Random Err > 2;Cubic Err > 5;Square Err > 5;Line Err > 5;Single Err > 5;Random Err > 5;Max Relative Error;Min Rel Error;Average Rel Err;# zero output;# zeor Gold
2016_09_07_04_23_17_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;5;15;0.21662074148296595;0.21786437246963564;0.21907283057851235;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;101.03092783505154;0.36900369003690037;48.54171224831957;2;0
2016_09_07_04_23_23_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.20547344689378755;0.20547344689378755;0.20547344689378755;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;32.13667139033223;17.998058081030983;23.717530655627897;0;0
2016_09_07_04_23_31_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;2;8;0.2156813627254509;0.2161091549295775;0.21696792260692466;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.5669546436285;0.8328375966686495;65.27463588813504;2;0
2016_09_07_04_23_42_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;15;22;0.20346943887775548;0.20732179752066116;0.2085953878406709;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;102.3454157782516;0.10080645161290322;53.35058759553569;4;0
2016_09_07_04_23_46_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.2136147294589178;0.2136147294589178;0.2136147294589178;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;101.18790496760259;19.191410837107867;46.11148890528695;0;0
2016_09_07_04_24_53_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;3;7;0.22513777555110226;0.22586945564516125;0.2266895325203252;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.45881581822154;0.24291497975708504;62.84406639061946;0;0
2016_09_07_04_26_53_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;216;499;0.18843937875751504;0.20395318021201414;nan;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2.7525710828796126;1.6175913054467332;2.1477557838309536;0;0
2016_09_07_04_26_57_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;1;0.23409318637274545;0.23409318637274545;0.23406124497991965;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;2044.8202959830865;4.776239213325306;90.26688511137974;0;0
2016_09_07_04_27_31_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;10;10;0.2685996993987976;0.2728144171779141;0.2728144171779141;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.17019959771005;0.007738740133106331;90.15695155061474;4;0
2016_09_07_04_28_02_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;2;2;2;2;0.03125;nan;nan;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.13178486121406804;0.06583820261706855;0.0988115319155683;0;0
2016_09_07_04_28_12_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;3;3;0.2642159318637275;0.2647429435483871;0.2647429435483871;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;100.21994835995028;1.4576431613819214;82.47638891942658;1;0
2016_09_07_04_28_56_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;70;70;54;54;0.203125;0.34765625;0.34765625;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;100.14874915483433;0.0067476383265856945;23.50753867489962;1;0
2016_09_07_04_29_13_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;15;19;0.2256387775551102;0.2285640495867769;0.22923177083333335;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;100.21969243059716;0.09892175289346128;61.70928589962528;1;0
2016_09_07_04_29_21_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.2677229458917836;0.2677229458917836;0.2677229458917836;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.12586004363149;71.29828326180258;84.57152497330918;0;0
2016_09_07_04_30_17_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;295;499;0.1455410821643287;0.17509191176470584;nan;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3.1385642737896493;0.02963841138114997;1.587528097202066;0;0
2016_09_07_04_30_43_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;4;11;0.2319639278557114;0.23289141414141412;0.23315829918032782;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1350.935550935551;0.2851846570654499;75.42785961267661;1;0
2016_09_07_04_30_56_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;24;39;0.22839428857715427;0.2349342105263158;0.23566576086956526;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;216.4778578784758;0.1437470052707235;38.94359752097212;0;0
2016_09_07_04_31_12_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.23365480961923846;0.23365480961923846;0.23365480961923846;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.2243683543069;13.039552104027452;66.17699328827176;0;0
2016_09_07_04_31_29_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.21467935871743482;0.21467935871743482;0.21467935871743482;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;25.34854245880862;13.707664884135474;18.391115621034785;0;0
2016_09_07_04_31_44_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;6;14;0.22238226452905807;0.2240111561866126;0.22590206185567008;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.363073110285;0.06305170239596469;64.03791698042008;0;0
2016_09_07_04_31_54_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;5;13;0.22764278557114226;0.22880819838056676;0.23064557613168724;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.88195038494439;0.4559270516717325;62.18499654285169;3;0
2016_09_07_04_32_38_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;14;34;0.20660070140280562;0.2100515463917526;0.21418010752688177;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;101.68621700879766;0.0722543352601156;62.42615204360642;1;0
2016_09_07_04_32_46_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;499;499;0.14741983967935868;nan;nan;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6662988302802915;0.033486814566764334;0.9335098779407089;0;0
2016_09_07_04_33_19_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;4;4;4;4;0.0859375;nan;nan;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.28868360277136257;0.23054755043227668;0.2596071708012709;0;0
2016_09_07_04_33_23_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.2417960921843687;0.2417960921843687;0.2417960921843687;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;100.19412559081702;22.44766505636071;69.88548141545458;1;0
2016_09_07_04_34_21_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;22;22;18;22;0.09375;0.15625;nan;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3.9881831610044314;0.02066115702479339;0.7640639634194527;0;0
2016_09_07_04_35_00_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;0;0;0.23421843687374755;0.23421843687374755;0.23421843687374755;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.2308773338687;12.666291924302042;66.9183754728133;0;0
2016_09_07_04_35_45_cudaNW_carolk402.log;carolk402;cudaNW; max_rows-2048 max_cols-2048 penalty-10;0;500;500;3;8;0.23114979959919835;0.2319808467741935;0.23275203665987776;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;100.41190788241903;0.5884516366311144;66.97433890570996;0;0
