log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished
2016_09_05_01_16_14_cudaNW_carolk402.log, 0, _Z13GoldChkKernelPiS_i, 0, rf, 0, 27600545, 5.89349519121, 0.40100118764, 0
2016_09_05_01_16_16_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 65, rf, 2, 93431, 16.2745795817, 0.018363721149, 0
2016_09_05_02_03_22_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 9, rf, 0, 126042, 16.7768004298, 0.405981066927, 0
2016_09_05_02_03_24_cudaNW_carolk402.log, 0, _Z13GoldChkKernelPiS_i, 0, rf, 2, 9684930, 1.76992333194, 0.694769464567, 1
2016_09_07_04_23_03_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 54, rf, 0, 8860, 22.866324926, 0.0777485958531, 0
2016_09_07_04_23_05_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 126, rf, 0, 170364, 11.8289962383, 0.887041685959, 0
2016_09_07_04_23_07_cudaNW_carolk402.log, 0, _Z13GoldChkKernelPiS_i, 0, rf, 0, 65141751, 5.54270033463, 0.125919322344, 0
2016_09_07_04_23_10_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 47, rf, 0, 332927, 17.9705915178, 0.980593734452, 0
2016_09_07_04_23_12_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 123, rf, 0, 351708, 10.1844036366, 0.649969582974, 1
2016_09_07_04_23_14_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 32, rf, 0, 603356, 23.9439286031, 0.0948339143045, 0
2016_09_07_04_23_16_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 20, rf, 0, 510542, 12.4702417355, 0.237334572849, 0
2016_09_07_04_23_17_cudaNW_carolk402.log, 1, _Z20needle_cuda_shared_2PiS_iiii, 1, rf, 0, 101567, 12.8255248047, 0.0799391409232, 1
2016_09_07_04_23_19_cudaNW_carolk402.log, 0, _Z13GoldChkKernelPiS_i, 0, rf, 0, 33539173, 1.48519686419, 0.694047373879, 1
2016_09_07_04_23_21_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_1PiS_iiii, 112, rf, 0, 436652, 7.26288480683, 0.148245776008, 1
2016_09_07_04_23_23_cudaNW_carolk402.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 45, rf, 0, 273042, 5.58814252083, 0.372214466625, 1
2016_09_07_04_23_25_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 3, rf, 0, 614028, 11.5219831008, 0.859760945128, 0
2016_09_07_04_23_27_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 63, rf, 0, 117017, 1.66638057984, 0.274043380336, 1
2016_09_07_04_23_28_cudaNW_carolk402.log, 0, _Z20needle_cuda_shared_2PiS_iiii, 79, rf, 0, 31107, 23.5676340597, 0.681131458245, 0
2016_09_07_04_23_31_cudaNW_carolk402.log, 1, _Z20needle_cuda_shared_1PiS_iiii, 24, rf, 0, 79303, 0.360562761553, 0.175274094269, 1
2016_09_07_04_23_33_cudaNW_carolk402.log, 0, _Z13GoldChkKernelPiS_i, 0, rf, 0, 22484906, 0.740920317098, 0.658121427187, 1
