Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
Mon Sep  5 02:27:52 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_05_02_27_52_cudaQuickSortCDP_carolk402.log
Mon Sep  5 02:27:59 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_05_02_27_59_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:06:52 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_06_52_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:06:59 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_06_59_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:03 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_03_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:11 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_11_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:13 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_13_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:20 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_20_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:23 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_23_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:27 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 3230 , 6.379855 , 0 , 500 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 , ./2016_09_07_06_07_27_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:42 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_42_cudaQuickSortCDP_carolk402.log
Wed Sep  7 06:07:50 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_07_50_cudaQuickSortCDP_carolk402.log
