log_file,has_sdc,inj_kname,inj_kcount,inj_igid,inj_fault_model,inj_inst_id,inj_destination_id,inj_bit_location,finished,Timestamp,Machine,Benchmark,Header,SDC,LOGGED_ERRORS,ACC_ERR,ACC_TIME,ERR_OUTOFORDER,ERR_CORRUPTED,ERR_LINK,ERR_SYNC,IT_OOO,IT_CORRUPTED,IT_LINK,IT_SYNC,IT_OOO_CORR,IT_SYNC_CORR,IT_SYNC_OOO,IT_LINK_OOO,IT_LINK_CORR,IT_LINK_SYNC,IT_MULTIPLE,BALANCE_MISMATCHES,Logname
2016_09_07_06_07_27_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 1588468971, 9.76385002656, 0.800819420183, 1,Wed Sep  7 06:07:27 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 500 , 3230 , 6.379855 , 0 , 500 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 , ./2016_09_07_06_07_27_cudaQuickSortCDP_carolk402.log
2016_09_07_06_08_36_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 2114182584, 12.5445926522, 0.188189319704, 1,Wed Sep  7 06:08:36 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 31 , 31 , 5.776508 , 31 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_08_36_cudaQuickSortCDP_carolk402.log
2016_09_07_06_11_47_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 700722450, 8.16871091288, 0.46476694886, 1,Wed Sep  7 06:11:47 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 257 , 257 , 5.70285 , 248 , 9 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 , ./2016_09_07_06_11_47_cudaQuickSortCDP_carolk402.log
2016_09_07_06_12_22_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 1377275368, 9.01410726259, 0.44799397941, 1,Wed Sep  7 06:12:22 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 47 , 47 , 6.187746 , 47 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_12_22_cudaQuickSortCDP_carolk402.log
2016_09_07_06_12_54_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 517906918, 5.42540101253, 0.190206583571, 1,Wed Sep  7 06:12:54 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 40 , 40 , 5.651752 , 38 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_12_54_cudaQuickSortCDP_carolk402.log
2016_09_07_06_14_14_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 2610154436, 3.25111104145, 0.977801032801, 1,Wed Sep  7 06:14:14 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 6 , 6 , 7.870076 , 4 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_14_14_cudaQuickSortCDP_carolk402.log
2016_09_07_06_14_39_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 618587530, 9.0901189826, 0.271637142141, 1,Wed Sep  7 06:14:39 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 42 , 42 , 5.340671 , 42 , 0 , 0 , 0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_14_39_cudaQuickSortCDP_carolk402.log
2016_09_07_06_15_03_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 1089479794, 3.06446377375, 0.537967483386, 1,Wed Sep  7 06:15:03 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 6 , 6 , 5.704947 , 4 , 2 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_15_03_cudaQuickSortCDP_carolk402.log
2016_09_07_06_15_18_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 1600021414, 2.29907415494, 0.160589907731, 1,Wed Sep  7 06:15:18 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 197 , 197 , 6.657767 , 182 , 15 , 0 , 0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_15_18_cudaQuickSortCDP_carolk402.log
2016_09_07_06_16_21_cudaQuickSortCDP_carolk402.log, 1, _Z10qsort_warpPjS_jjP17qsortAtomicData_tP14qsortRingbuf_tjj, 0, rf, 0, 570639100, 10.1946272323, 0.165502370907, 1,Wed Sep  7 06:16:21 2016 , carolk402 , cudaQuickSortCDP , 1048576 , 1 , 2 , 2 , 6.000932 , 0 , 2 , 0 , 0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 , ./2016_09_07_06_16_21_cudaQuickSortCDP_carolk402.log
